header,class,mechanism,group
Flq|QnrB33|JN173055|36-680|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Mdr|NC_002516.2.880183|Multi-drug_resistance|MDR_regulator|NALD,Multi-drug resistance,MDR regulator,NALD
Bla|AF491278.1|gene1|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
Bla|CMY-67|JQ711185|1028-2173|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|206813968|gb|FJ194944.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|AJ437107.1|gene1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
MLS|mphA_2_U36578|MLS|Macrolide_phosphotransferases|MPHA,MLS,Macrolide phosphotransferases,MPHA
gi|544207395|gb|KF203098.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Tmt|dfrA14_1_Z50805|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR
Bla|LCR-1|betalactams|Class_D_betalactamases|LCR1,betalactams,Class D betalactamases,LCR1
gi|10946528|gb|AY008291.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
MLS|VgaA|M90056|909-2477|1569|MLS|ABC_transporter|VGA,MLS,ABC transporter,VGA
gi|300510839|gb|HM245379.1|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
Bla|SHV-16|AF072684|118-993|876|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|360040233|gb|JN861780.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|OXA-179|HM570035|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|IMP-24|EF192154|1-741|741|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
CARD|phgb|AF117747|0-780|ARO:3001081|SHV-23|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
CARD|phgb|EU408351|16572-17454|ARO:3002511|LRA-12|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA
AGly|Aac6-Iy|AF144880|3452-3979|438|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
gi|698174183|gb|KM087846.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|TEM-105|AF516720|215-1075|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|247720642|gb|GQ202694.1|betalactams|Class_A_betalactamases|BEL,betalactams,Class A betalactamases,BEL
Bla|SHV-1_5_GQ407119|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|GOB-17|AY899332|1-873|873|betalactams|Class_B_betalactamases|GOB,betalactams,Class B betalactamases,GOB
Bla|CTX-M-28|AJ549244|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|GOB-11|AY647248|1-879|879|betalactams|Class_B_betalactamases|GOB,betalactams,Class B betalactamases,GOB
Tet|NC_010558.1.6276025|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETD,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETD
1333|KP264124.1|KP264124|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Met|nimI_1_FJ940883|Metronidazole|nim_nitroimidazole_reductase|NIMI,Metronidazole,nim nitroimidazole reductase,NIMI
MLS|lsaA_2_AY58982|MLS|Streptogramin_resistance_ATP-binding_cassette_ABC_efflux_pumps|LSA,MLS,Streptogramin resistance ATP-binding cassette ABC efflux pumps,LSA
gi|21464484|gb|AY101578.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|CMY-70|JX440350|1027-2172|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|SHV-143|JQ341060|882-1742|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Flq|HE999704.1|gene7|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Sul|sul1_26_AY524415|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
Mdr|CP000647.1|gene956|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPF|RequiresSNPConfirmation,Multi-drug resistance,MDR mutant porin proteins,OMPF
1211|U50278.1|ECU50278|betalactams|Class_A_betalactamases|IMI,betalactams,Class A betalactamases,IMI
105|FR772051.1|FR772051|MLS|ABC_transporter|VGA,MLS,ABC transporter,VGA
179|M16217.1|PNS1CG|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETK,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETK
Gly|VanH-Ao1|AF060799|534-1580|1047|Glycopeptides|VanA-type_resistance_protein|VANHA,Glycopeptides,VanA-type resistance protein,VANHA
gi|337729566|gb|JF966749.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Sul|sul2_13_AJ289135|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
gi|388564831|gb|JQ733572.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Tet|tetJ_1_ACLE01000065|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETJ,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETJ
gi|1841437|emb|Y11068.1|betalactams|Class_C_betalactamases|FOX,betalactams,Class C betalactamases,FOX
Bla|OKP-A-16|FJ755840|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
gi|15624078|gb|AF203816.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|OCH-5|AJ295343|1-1173|1173|betalactams|Class_C_betalactamases|OCH,betalactams,Class C betalactamases,OCH
Sul|sul1_9_AY963803|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
gi|300863226|gb|HM367709.1|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
Bla|DQ157752.1|gene2|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
Gly|VanY-A_1_FJ866609|Glycopeptides|VanA-type_accessory_protein|VANYA,Glycopeptides,VanA-type accessory protein,VANYA
1479|HF953351.1|HF953351|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6
gi|586619660|gb|KF944358.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
CARD|phgb|NC_010611|1672368-1673193|ARO:3001615|OXA-66|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|SHV-25|AF208796|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|LEN-7|AJ635425|1-789|789|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
Bla|IND-10|GU206353|19-738|720|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
Bla|LEN-9|AJ635423|1-789|789|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
Flq|NC_003197.1.1253794|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Bla|OXA-175|HM113561|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Mdr|NC_002516.2.880212|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXE,Multi-drug resistance,Multi-drug efflux pumps,MEXE
gi|14700043|gb|AY039040.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|OXA-130|EU547445|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|LEN-6|AY265890|1-472|472|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
CARD|pvgb|NC_007622|559336-560521|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB
Bla|OXA-146|FJ194460|174-998|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|MOX-2|AJ276453|4620-5768|1149|betalactams|Class_C_betalactamases|MOX,betalactams,Class C betalactamases,MOX
gi|14626419|gb|AY034847.1|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC
MLS|ermE_1_X51891|MLS|23S_rRNA_methyltransferases|ERME,MLS,23S rRNA methyltransferases,ERME
gi|56554768|gb|AY847146.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|298113029|gb|HM113563.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|OKP-A-1|AJ635401|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
Bla|OXA-2_1_GQ466184|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|OxA-116|EU220744|1-786|786|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|591389171|gb|KJ135346.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|TEM-12|M88143|368-1228|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|OXA-335_1_KF203109|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|IMI-2|JN412066|2891-3769|879|betalactams|Class_A_betalactamases|IMI,betalactams,Class A betalactamases,IMI
gi|595583477|gb|KF992026.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
Bla|AY248038.1|gene4|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
Bla|CTX-M-11|AY005110|254-1402|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
1329|EF653400.1|EF653400|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|OxY4-1|AY077481|125-1057|934|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
gi|304650979|gb|HQ122933.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
1271|AF167990.3|AF167990|betalactams|Class_C_betalactamases|MOX,betalactams,Class C betalactamases,MOX
CARD|phgb|U00096|2155262-2158385|ARO:3000793|mdtB|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTB,Multi-drug resistance,Multi-drug efflux pumps,MDTB
gi|40888715|gb|AY494717.1|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES
CARD|phgb|CP004067|43007-43928|ARO:3002669|APH2-DPRIME-Ig|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME
Flq|CP000675.2|gene1514|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
CARD|phgb|X80277|0-1149|ARO:3003553|CepS|betalactams|Class_C_betalactamases|CEPS,betalactams,Class C betalactamases,CEPS
gi|15149329|gb|AF397068.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
825|S52438.1|S52438|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,Tetracyclines,Tetracycline transcriptional repressor,TETR
MLS|LmrB|X62867|361-1197|837|MLS|Lincosamide_efflux_pump|LMRB,MLS,Lincosamide efflux pump,LMRB
Mdr|NC_011586.7046391|Multi-drug_resistance|Multi-drug_efflux_pumps|ADEA,Multi-drug resistance,Multi-drug efflux pumps,ADEA
Bla|CMY-18|AY743434|47-1198|1152|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
AGly|strA_5_AF321550|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
CARD|phgb|AF079138|153-1122|ARO:3000598|Erm31|MLS|23S_rRNA_methyltransferases|ERM,MLS,23S rRNA methyltransferases,ERM
Sul|sul1_33_AJ564903|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
Elf|CP000647.1|gene4394|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB
Gly|VanR-D_2_AF175293|Glycopeptides|VanD-type_regulator|VANRD,Glycopeptides,VanD-type regulator,VANRD
Elf|HE999704.1|gene2984|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB
CARD|phgb|FJ872411|43513-44203|ARO:3002924|vanRE|Glycopeptides|VanE-type_regulator|VANRE,Glycopeptides,VanE-type regulator,VANRE
gi|12484390|gb|AF252623.2|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|160948432|emb|AM176546.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
MLS|L22689.1|gene1|MLS|23S_rRNA_methyltransferases|ERMQ,MLS,23S rRNA methyltransferases,ERMQ
gi|544207415|gb|KF203108.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|HERA-2|AF398334|1-873|873|betalactams|Class_A_betalactamases|HERA,betalactams,Class A betalactamases,HERA
AGly|Aac6-Aph2|M13771|304-1743|1440|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Bla|GES-22|JX023441|38-901|864|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES
1234|AY139598.1|AY139598|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Flq|NC_002952.2859949|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Bla|LEN-4|AY130287|1-823|823|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
295|AF211348.1|AF211348|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|430804550|gb|KC149518.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
CARD|phgb|AF072684|117-993|ARO:3001075|SHV-16|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|161367443|gb|EU274581.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Flq|NC_003923.1003354|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
Bla|SHV-2_1_GQ407116|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
202|DQ195535.2|DQ195535|MLS|Macrolide_glycosyltransferases|OLEI,MLS,Macrolide glycosyltransferases,OLEI
gi|294997088|dbj|AB529520.1|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
CARD|phgb|JF802084|559-1591|ARO:3002912|vanN|Glycopeptides|VanN-type_resistance_protein|VANN,Glycopeptides,VanN-type resistance protein,VANN
CARD|phgb|AL513383|161910-162771|ARO:3000873|TEM-1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|17026025|dbj|AB074436.1|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
CARD|phgb|AJ584701|10-562|ARO:3002590|AAC6-PRIME-Iih|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
gi|591389145|gb|KF986255.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|IBC-2|AF329699|373-1236|864|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES
Bla|NC_010410|1184557-1185747|1191|betalactams|Class_C_betalactamases|ADC,betalactams,Class C betalactamases,ADC
CARD|phgb|KM401566|1211-2033|ARO:3003117|OXA-421|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
1009|AF031326.1|AF031326|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
63|DQ516954.1|DQ516954|Multi-drug_resistance|Multi-drug_efflux_pumps|MSBA,Multi-drug resistance,Multi-drug efflux pumps,MSBA
Bla|SHV-71_2_DQ296194|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|6606273|gb|AF157553.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
MLS|TlrC|NC_016113|803268-384890|1623|MLS|ABC_transporter|TLRC,MLS,ABC transporter,TLRC
CARD|phgb|FJ483516.1|0-252|ARO:3000860|rmtB|Aminoglycosides|16S_rRNA_methyltransferases|RMTB,Aminoglycosides,16S rRNA methyltransferases,RMTB
933|AB164230.1|AB164230|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
gi|573006828|gb|KF900153.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|43935|emb|X55640.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
385|AB016934.1|AB016934|Fosfomycin|Fosfomycin_phosphorylation|FOMA,Fosfomycin,Fosfomycin phosphorylation,FOMA
gi|338173766|gb|HQ661363.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|48527203|gb|AY628199.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Rif|NC_002745.1123305|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
CARD|phgb|AF441287|260-1007|ARO:3000844|TUS-1|betalactams|Class_B_betalactamases|TUS,betalactams,Class B betalactamases,TUS
533|Y17896.1|Y17896|betalactams|Class_B_betalactamases|FEZ,betalactams,Class B betalactamases,FEZ
CARD|pvgb|NC_002516|4767810-4769004|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB
CARD|phgb|U00096|1124117-1125326|ARO:3001216|mdtH|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTH,Multi-drug resistance,Multi-drug efflux pumps,MDTH
Bla|GES-20|JN596280|2848-3711|864|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES
1875|U37105.2|XXU37105|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Bla|AY077483.1|gene1|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
Tmt|Dfr16|AF077008|115-558|474|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR
CARD|phgb|EU408359|3791-4694|ARO:3002513|LRA-19|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA
Bla|TEM-80|AF347054|209-1069|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Fos|fosA_5_NZ_AEXB01000013|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Fosfomycin,Fosfomycin thiol transferases,FOSA
Flq|QnrB21|FJ611948|1-645|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Sul|NC_011586.7045179|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
932|L06157.1|PSEAAC3IB|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3-PRIME
Bla|FJ666069.1|gene1|betalactams|Class_C_betalactamases|PDC,betalactams,Class C betalactamases,PDC
Bla|OXY2-3|AY077488|162-1031|870|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
Bla|SHV-73|AM176548|17-874|858|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|IMP-28|HQ263342|1-741|741|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
gi|343480073|gb|JF274247.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Tet|AM180355.1|gene636|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
CARD|phgb|NC_010410|3676915-3677389|ARO:3002854|dfrA1|Trimethoprim|Dihydrofolate_reductase|DFRA,Trimethoprim,Dihydrofolate reductase,DFRA
gi|698174199|gb|KM087854.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA
CARD|phgb|KC544262|665-1424|ARO:3003198|rmtH|Aminoglycosides|16S_rRNA_methyltransferases|RMTH,Aminoglycosides,16S rRNA methyltransferases,RMTH
Bla|AJ746225.1|gene1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|SHV-11_15_DQ219473|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|CTX-M-47|AY847143|83-958|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Sul|sul3_5_AB281182|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
199|AY566250.1|AY566250|Fluoroquinolones|Quinolone_active_efflux|NORA,Fluoroquinolones,Quinolone active efflux,NORA
Bla|OXY2-5|AY077487.2|180-1049|870|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
gi|698174159|gb|KM087834.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
458|AF310956.2|AF310956|Glycopeptides|VanB-type_resistance_protein|VANXB,Glycopeptides,VanB-type resistance protein,VANXB
Sul|sul2_14_AJ514834|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
Bla|CMY-4|AF420597|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|45771831|emb|AJ632249.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|ROB-1|AF022114|303-1220|918|betalactams|Class_A_betalactamases|ROB,betalactams,Class A betalactamases,ROB
Bla|IMI-3|GU015024|1-879|879|betalactams|Class_A_betalactamases|IMI,betalactams,Class A betalactamases,IMI
Gly|VanTc|DQ022190|1802-3898|2097|Glycopeptides|VanC-type_resistance_protein|VANTC,Glycopeptides,VanC-type resistance protein,VANTC
gi|16798373|gb|AF427129.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Flq|CP001138.1|gene3329|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
Bla|LEN-24|AM850914|1-861|861|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
CARD|phgb|JQ768046|7760-9440|ARO:3001313|facT|Elfamycins|Elfamycin_efflux_pumps|FACT,Elfamycins,Elfamycin efflux pumps,FACT
Bla|cfxA6|GQ342996|798-1793|966|betalactams|Class_A_betalactamases|CFX,betalactams,Class A betalactamases,CFX
CARD|phgb|AP009048|1191352-1192024|ARO:3000834|phoP|Multi-drug_resistance|Multi-drug_efflux_pumps|PHOP|RequiresSNPConfirmation,Multi-drug resistance,Multi-drug efflux pumps,PHOP
CARD|phgb|EU408358|27458-28439|ARO:3002483|LRA-5|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA
Gly|VanT-N_1_JF802084|Glycopeptides|VanN-type_resistance_protein|VANTN,Glycopeptides,VanN-type resistance protein,VANTN
Bla|VIM-28|JF900599|1-801|801|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
CARD|phgb|AL009126|339155-339749|ARO:3003059|tmrB|Tunicamycin|ATP-binding_tunicamycin_resistance|TMRB,Tunicamycin,ATP-binding tunicamycin resistance,TMRB
AGly|AadK-Pm|CP002869|4442322-4441435|888|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6
gi|557477790|gb|KF460532.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
1727|AY162283.2|AY162283|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
1656|AY920928.1|AY920928|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME
gi|84782428|gb|DQ335566.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
CARD|phgb|AY700571|0-879|ARO:3002314|KPC-4|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC
gi|698174221|gb|KM087865.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Gly|VanX-M|FJ349556|5894-6502|609|Glycopeptides|VanM-type_resistance_protein|VANXM,Glycopeptides,VanM-type resistance protein,VANXM
Bla|OXA-232_1_JX423831|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
1306|AM412777.1|AM412777|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|556904155|gb|KF421161.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
AGly|Aph6-I|X01702|485-1285|801|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6
Bla|OXA-141|EF552405|13-840|828|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Tet|tetM_9_X56353|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
Bla|OXY1-4|AY077483|183-1055|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
