Source_Database	MEGARes_Header	Source_Headers(space_separated)
NCBI	Sul|sul1_27_GU562437|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI	gi|695223897|ref|NG_040952.1|6926-7765 gi|695220981|ref|NG_039598.1|6926-7765
Resfinder	Sul|sul1_27_GU562437|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI	sul1_27_GU562437
NCBI	Phe|NC_010588.1.6276004|Phenicol|Chloramphenicol_acetyltransferases|CATA	gi|985700753|dbj|LC122351.1|1649-2319 gi|973776294|gb|KT833851.1|162657-163327 gi|973743057|gb|KT894021.1|4129-3459 gi|974004808|dbj|LC030201.1|1364-2034 gi|974004804|dbj|LC030200.1|1364-2034 gi|971497742|gb|CP012903.1|56765-57435 gi|970697631|gb|KT935446.1|80626-81296 gi|937637950|gb|KT203286.1|5910-5240 gi|941350020|gb|KT163018.1|10773-10103 gi|941350015|gb|KT163017.1|4081-3411
NCBI	1737|AY033516.1|AY033516|betalactams|Class_A_betalactamases|CTX	gi|16506517|gb|AY033516.1|3791-4714 gi|695208600|ref|NG_035613.1|1712-2635 gi|961666360|gb|KT185451.1|96494-96265 gi|817046807|gb|KP893385.1|135986-135757
NCBI	gi|88697140|gb|DQ392963.1|betalactams|Class_D_betalactamases|OXA	gi|88697140|gb|DQ392963.1|1-865
NCBI	Sul|AL009126.3|gene92|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation	gi|983204966|gb|CP014166.1|85736-86593 gi|807072327|gb|CP011115.1|85736-86593 gi|758179040|gb|CP010014.1|3934420-3935277 gi|749183975|gb|CP010314.1|85737-86594 gi|728887195|gb|CP010053.1|85736-86593 gi|728882887|gb|CP010052.1|85737-86594 gi|724425628|emb|LN680001.1|85736-86593 gi|723796434|emb|LN649259.1|85736-86593 gi|649013680|gb|CP008698.1|85737-86594 gi|649009321|gb|CP007800.1|85737-86594
NCBI	AGly|strA_3_AF024602|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	gi|3220157|gb|AF024602.1|AF024602|2353-3156 gi|984686374|gb|HQ700358.2|20307-19505 gi|974751547|gb|KU130294.1|219608-218806 gi|971493847|gb|CP010351.1|33456-34258 gi|873464424|gb|KR014106.1|34318-35120 gi|954171462|gb|KT151662.1|77778-78580 gi|954171374|gb|KT151661.1|77778-78580 gi|954171188|gb|KT151659.1|77742-78544 gi|954171094|gb|KT151658.1|77750-78552 gi|954171002|gb|KT151657.1|77778-78580
Resfinder	AGly|strA_3_AF024602|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	strA_3_AF024602
CARD	CARD|phgb|EF468463|66-927|ARO:3001028|TEM-162|betalactams|Class_A_betalactamases|TEM	@phgb|EF468463|66-927|ARO:3001028|TEM-162 [Acinetobacter haemolyticus]
NCBI	CARD|phgb|EF468463|66-927|ARO:3001028|TEM-162|betalactams|Class_A_betalactamases|TEM	gi|134154076|gb|EF468463.1|67-928
CARD	CARD|phgb|DQ212986|4222-5062|ARO:3002959|vanYG1|Glycopeptides|VanG-type_accessory_protein|VANYG	@phgb|DQ212986|4222-5062|ARO:3002959|vanYG1 [Enterococcus faecalis]
NCBI	CARD|phgb|DQ212986|4222-5062|ARO:3002959|vanYG1|Glycopeptides|VanG-type_accessory_protein|VANYG	gi|762041216|gb|KF697366.1|36933-37773 gi|672937785|gb|KF686317.1|36933-37773 gi|674114364|gb|CP007573.1|762787-763627 gi|674107077|gb|CP007570.1|641043-641883 gi|77380191|gb|DQ212986.1|4223-5063
NCBI	Bla|AJ550807.1|gene4|betalactams|Class_B_betalactamases|IMP	gi|354549225|gb|JN091097.1|261-1136 gi|281021955|gb|GU207399.1|66-941 gi|219664352|gb|FJ172676.1|869-1744 gi|164663647|emb|AM931299.1|32-907 gi|72416444|emb|AJ628135.2|2228-3103 gi|33086392|emb|AJ550807.1|2243-3118 gi|401668650|gb|JX131371.1|724-1597 gi|219664342|gb|FJ172674.1|168-1041
CARD	gi|675599421|gb|KJ934266.1|betalactams|Class_A_betalactamases|CARB	@phgb|KJ934266|0-852|ARO:3003174|CARB-18 [Vibrio parahaemolyticus]
Lahey	gi|675599421|gb|KJ934266.1|betalactams|Class_A_betalactamases|CARB	AIL92327.1 KJ934266.1:1-852
NCBI	gi|675599421|gb|KJ934266.1|betalactams|Class_A_betalactamases|CARB	gi|675599421|gb|KJ934266.1|1-852
CARD	CARD|phgb|AP009048|3980025-3981183|ARO:3000795|mdtE|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTE	@phgb|AP009048|3980025-3981183|ARO:3000795|mdtE [Escherichia coli str. K-12 substr. W3110]
NCBI	CARD|phgb|AP009048|3980025-3981183|ARO:3000795|mdtE|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTE	gi|985000614|gb|CP014225.1|1857589-1856431 gi|958627747|gb|CP013253.1|4342348-4343506 gi|958612453|gb|CP013048.1|594559-595717 gi|939732440|gb|CP011343.2|3637355-3636197 gi|939731527|gb|CP011342.2|3637803-3636645 gi|937526251|gb|CP012870.1|981266-982424 gi|937521852|gb|CP012869.1|981266-982424 gi|937517453|gb|CP012868.1|981266-982424 gi|932857508|emb|LN877770.1|4483891-4482733 gi|923416119|gb|CP011113.1|3617116-3615958
NCBI	Bla|SHV-71_1_EF373974|betalactams|Class_A_betalactamases|SHV	gi|125658591|gb|EF373974.1|1-861
Resfinder	Bla|SHV-71_1_EF373974|betalactams|Class_A_betalactamases|SHV	blaSHV-71_1_EF373974
NCBI	1268|AB976602.1|AB976602|betalactams|Class_A_betalactamases|CTX	gi|971520884|gb|CP008697.1|324162-323220 gi|971520884|gb|CP008697.1|496713-495771 gi|967512282|gb|KT362307.1|1109-167 gi|962148759|gb|KT002541.1|12269-13211 gi|961666360|gb|KT185451.1|26745-25803 gi|961666360|gb|KT185451.1|96539-96265 gi|961494526|gb|KT282968.1|36768-35826 gi|940516925|dbj|LC091535.1|1404-2346 gi|918462945|gb|KP987215.1|31784-30842 gi|817046807|gb|KP893385.1|73718-74660 gi|817046807|gb|KP893385.1|136031-135757 gi|831358012|emb|LN735561.1|25778-24836 gi|831357893|emb|LN735560.1|15374-14432
CARD	gi|723266034|gb|KM379100.1|betalactams|Class_A_betalactamases|KPC	@phgb|KM379100|0-882|ARO:3003180|KPC-22 [Klebsiella pneumoniae]
Lahey	gi|723266034|gb|KM379100.1|betalactams|Class_A_betalactamases|KPC	AIX87991.1 KM379100.1:1-882
NCBI	gi|723266034|gb|KM379100.1|betalactams|Class_A_betalactamases|KPC	gi|723266034|gb|KM379100.1|1-882
NCBI	gi|56554762|gb|AY847143.1|betalactams|Class_A_betalactamases|CTX	gi|56554762|gb|AY847143.1|83-963
CARD	CARD|pvgb|AL450380|296695-297550|ARO:3003389|Mycobacterium|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation	@pvgb|AL450380|296695-297550|ARO:3003389|Mycobacterium leprae dapsone resistant folP mutants [Mycobacterium leprae TN]
NCBI	CARD|pvgb|AL450380|296695-297550|ARO:3003389|Mycobacterium|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation	gi|219932450|emb|FM211192.1|296711-297566 gi|13092412|emb|AL583917.1|296696-297551 gi|3097216|emb|AL023093.1|5342-4487 gi|5832712|dbj|AB028656.1|1-855
NCBI	Bla|OXY1-7|M27459|86-961|876|betalactams|Class_A_betalactamases|OXY	gi|662706586|gb|CP008841.1|2548225-2547350 gi|660567586|gb|CP008788.1|1536015-1535140 gi|341705|gb|M27459.1|KPNLACMASB|86-961 gi|219920904|emb|FM178414.1|1-825
Resfinder	Bla|OXY1-7|M27459|86-961|876|betalactams|Class_A_betalactamases|OXY	blaOXY-1-7_7_M27459
NCBI	Tet|tetA_P_1_AB054980|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA	gi|16904629|dbj|AB054980.1|1-1263
Resfinder	Tet|tetA_P_1_AB054980|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA	tetA(P)_1_AB054980
CARD	gi|13173097|gb|AF324834.1|betalactams|Class_A_betalactamases|VEB	@phgb|AF324834.1|0-900|ARO:3003712|VEB-1b [Pseudomonas aeruginosa]
Lahey	gi|13173097|gb|AF324834.1|betalactams|Class_A_betalactamases|VEB	ALB25887.1 KR021286.1:1-900
NCBI	gi|13173097|gb|AF324834.1|betalactams|Class_A_betalactamases|VEB	gi|13173097|gb|AF324834.1|1-900
Resfinder	gi|13173097|gb|AF324834.1|betalactams|Class_A_betalactamases|VEB	blaVEB-1_4_AF324834
CARD	CARD|phgb|U00096|2154015-2155263|ARO:3000792|mdtA|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTA	@phgb|U00096|2154015-2155263|ARO:3000792|mdtA [Escherichia coli str. K-12 substr. MG1655]
NCBI	CARD|phgb|U00096|2154015-2155263|ARO:3000792|mdtA|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTA	gi|985000614|gb|CP014225.1|351215-352463 gi|958627747|gb|CP013253.1|1262254-1261006 gi|939732440|gb|CP011343.2|2134173-2135421 gi|939731527|gb|CP011342.2|2134869-2136117 gi|937526251|gb|CP012870.1|2487638-2486390 gi|937521852|gb|CP012869.1|2487638-2486390 gi|937517453|gb|CP012868.1|2487638-2486390 gi|932857508|emb|LN877770.1|2518050-2519298 gi|923416119|gb|CP011113.1|2116878-2118126 gi|899729770|gb|CP012127.1|2135207-2136455
CARD	CARD|phgb|JF780936|63-1209|ARO:3002078|CMY-65|betalactams|Class_C_betalactamases|CMY	@phgb|JF780936|63-1209|ARO:3002078|CMY-65 [Citrobacter sp. 913]
NCBI	CARD|phgb|JF780936|63-1209|ARO:3002078|CMY-65|betalactams|Class_C_betalactamases|CMY	gi|336318752|gb|JF780936.1|64-1210
ARG-ANNOT	gi|223635894|emb|AM941846.1|betalactams|Class_A_betalactamases|SHV	(Bla)SHV-100:AM922306:1-900:900
CARD	gi|223635894|emb|AM941846.1|betalactams|Class_A_betalactamases|SHV	@phgb|AM941846|0-900|ARO:3001338|SHV-100 [Klebsiella pneumoniae]
Lahey	gi|223635894|emb|AM941846.1|betalactams|Class_A_betalactamases|SHV	CAQ03505.1 AM941846.1:1-900
NCBI	gi|223635894|emb|AM941846.1|betalactams|Class_A_betalactamases|SHV	gi|218091984|emb|AM922306.1|1-900 gi|218091984|emb|AM922306.1|93-133 gi|218091984|emb|AM922306.1|132-172 gi|257043769|gb|GQ407126.1|92-861 gi|975895720|gb|CP014004.1|1087707-1088475 gi|975895720|gb|CP014004.1|1087615-1087747 gi|960865004|gb|CP012043.1|2753297-2752529 gi|960865004|gb|CP012043.1|2753389-2753257 gi|695172424|gb|CP008929.1|4247653-4246885 gi|695172424|gb|CP008929.1|4247745-4247613 gi|695220756|ref|NG_039549.1|169-937 gi|124053916|gb|EF035564.1|93-861 gi|23194361|gb|AF538324.1|93-861 gi|23194361|gb|AF538324.1|1-133 gi|83272142|gb|DQ298520.1|114-882 gi|83272142|gb|DQ298520.1|22-154 gi|937292495|gb|CP012753.1|1078475-1078607
Resfinder	gi|223635894|emb|AM941846.1|betalactams|Class_A_betalactamases|SHV	blaSHV-100_1_AM941846
ARG-ANNOT	Bla|GES-11|JN253503|37-900|864|betalactams|Class_A_betalactamases|GES	(Bla)GES-11:JN253503:37-900:864
CARD	Bla|GES-11|JN253503|37-900|864|betalactams|Class_A_betalactamases|GES	@phgb|FJ854362|701-1565|ARO:3002340|GES-11 [Acinetobacter baumannii]
Lahey	Bla|GES-11|JN253503|37-900|864|betalactams|Class_A_betalactamases|GES	ACS44714.1 FJ854362.1:702-1565
NCBI	Bla|GES-11|JN253503|37-900|864|betalactams|Class_A_betalactamases|GES	gi|974137695|dbj|LC107606.1|58-921 gi|970567970|dbj|LC107423.1|671-1534 gi|787862679|gb|CP008707.1|31686-30823 gi|478437738|gb|KC469284.1|26-889 gi|345645209|gb|JN253503.1|37-900 gi|310769856|gb|HM622144.1|55-918 gi|240114397|gb|FJ854362.1|702-1565 gi|238058428|gb|FJ538287.1|1-864
Resfinder	Bla|GES-11|JN253503|37-900|864|betalactams|Class_A_betalactamases|GES	blaGES-11_1_FJ854362
ARG-ANNOT	Bla|CTX-M-65|EF418608|10-885|876|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-65:EF418608:10-885:876
CARD	Bla|CTX-M-65|EF418608|10-885|876|betalactams|Class_A_betalactamases|CTX	@phgb|EF418608|9-885|ARO:3001926|CTX-M-65 [Escherichia coli]
Lahey	Bla|CTX-M-65|EF418608|10-885|876|betalactams|Class_A_betalactamases|CTX	ABN69105.1 EF418608.1:10-885
NCBI	Bla|CTX-M-65|EF418608|10-885|876|betalactams|Class_A_betalactamases|CTX	gi|961666360|gb|KT185451.1|27655-26780 gi|961494526|gb|KT282968.1|37678-36803 gi|817046807|gb|KP893385.1|72808-73683 gi|831358012|emb|LN735561.1|26688-25813 gi|831357893|emb|LN735560.1|16284-15409 gi|831357773|emb|LN735559.1|24625-23750 gi|831357650|emb|LN735558.1|25865-24990 gi|822874980|gb|KR078259.1|5672-6547 gi|667013121|gb|KJ668702.2|1676-2551 gi|548828260|gb|KF537631.1|6177-7052
Resfinder	Bla|CTX-M-65|EF418608|10-885|876|betalactams|Class_A_betalactamases|CTX	blaCTX-M-65_2_GQ456158
CARD	CARD|phgb|KP347127|22412-24038|ARO:3003689|MCR-1|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR	@phgb|KP347127|22412-24038|ARO:3003689|MCR-1 [Escherichia coli]
NCBI	CARD|phgb|KP347127|22412-24038|ARO:3003689|MCR-1|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR	gi|982277578|dbj|LC114018.1|1-1626 gi|982277574|dbj|LC114017.1|1-1626 gi|817091864|gb|KP347127.1|22413-24038
ARG-ANNOT	49|AJ514254.1|AJ514254|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET36	(Tet)Tet-36:AJ514254:2534-4456:1923
CARD	49|AJ514254.1|AJ514254|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET36	@phgb|AJ514254|0-1923|ARO:3000197|tet36 [Bacteroides coprosuis DSM 18011]
NCBI	49|AJ514254.1|AJ514254|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET36	gi|32451207|emb|AJ514254.1|2534-4456
Resfinder	49|AJ514254.1|AJ514254|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET36	tet(36)_1_AJ514254
CARD	CARD|phgb|AF174129|6335-7211|ARO:3001872|CTX-M-9|betalactams|Class_A_betalactamases|CTX	@phgb|AF174129|6335-7211|ARO:3001872|CTX-M-9 [Escherichia coli]
NCBI	CARD|phgb|AF174129|6335-7211|ARO:3001872|CTX-M-9|betalactams|Class_A_betalactamases|CTX	gi|825088700|gb|KP975077.1|39408-38532 gi|516560780|gb|JX515588.1|200604-199728 gi|299483205|gb|HM569735.1|1115-1991 gi|695200454|ref|NG_036140.1|5317-6193 gi|695208190|ref|NG_035493.1|6336-7212 gi|695200140|ref|NG_035386.1|1-877 gi|71273537|emb|AM040708.1|5582-6458 gi|130918109|gb|EF441350.1|132-1007 gi|16304825|emb|AJ416345.1|132-1005
CARD	1570|LC031883.1|LC031883|betalactams|Class_B_betalactamases|IMP	@phgb|LC031883|5071-5812|ARO:3003659|IMP-51 [Pseudomonas aeruginosa]
Lahey	1570|LC031883.1|LC031883|betalactams|Class_B_betalactamases|IMP	BAQ56016.1 LC031883.1:5072-5812
NCBI	1570|LC031883.1|LC031883|betalactams|Class_B_betalactamases|IMP	gi|765098769|dbj|LC031883.1|5072-5812
ARG-ANNOT	gi|10180985|gb|AY007369.1|betalactams|Class_C_betalactamases|FOX	(Bla)FOX-5:AY007369:1-1149:1149
CARD	gi|10180985|gb|AY007369.1|betalactams|Class_C_betalactamases|FOX	@phgb|AY007369|0-1149|ARO:3002159|FOX-5 [Klebsiella pneumoniae]
Lahey	gi|10180985|gb|AY007369.1|betalactams|Class_C_betalactamases|FOX	AAG12974.1 AY007369.1:1-1149
NCBI	gi|10180985|gb|AY007369.1|betalactams|Class_C_betalactamases|FOX	gi|800908878|gb|KP345882.1|200394-199246 gi|723243434|gb|CP009868.1|50728-49580 gi|662716651|gb|CP008824.1|26723-27871 gi|660573358|gb|CP008790.1|26723-27871 gi|640855459|gb|CP007732.1|26723-27871 gi|619739382|gb|CP007558.1|26723-27871 gi|94502874|gb|DQ478715.1|2386-3534 gi|695199915|ref|NG_035332.1|1-1149
Resfinder	gi|10180985|gb|AY007369.1|betalactams|Class_C_betalactamases|FOX	blaFOX-5_1_AY007369
ARG-ANNOT	AGly|Aac3-IId|EU022314|1-861|861|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	(AGly)Aac3-IId:EU022314:1-861:861
NCBI	AGly|Aac3-IId|EU022314|1-861|861|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	gi|154184309|gb|EU022314.1|1-861
Resfinder	AGly|Aac3-IId|EU022314|1-861|861|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	aac(3)-IId_1_EU022314
ARG-ANNOT	267|Z12001.1|Z12001|Phenicol|Phenicol_efflux_pumps|CMRA	(Phe)CmrA:Z12001:993-2168:1176
CARD	267|Z12001.1|Z12001|Phenicol|Phenicol_efflux_pumps|CMRA	@phgb|Z12001|992-2168|ARO:3002701|cmr [Rhodococcus fascians]
NCBI	267|Z12001.1|Z12001|Phenicol|Phenicol_efflux_pumps|CMRA	gi|46157|emb|Z12001.1|993-2168
Resfinder	267|Z12001.1|Z12001|Phenicol|Phenicol_efflux_pumps|CMRA	cmrA_1_Z12001
ARG-ANNOT	Bla|TEM-191|JF949916|1-757|757|betalactams|Class_A_betalactamases|TEM	(Bla)TEM-191:JF949916:1-757:757
CARD	Bla|TEM-191|JF949916|1-757|757|betalactams|Class_A_betalactamases|TEM	@phgb|JF949916|0-757|ARO:3001051|TEM-191 [Escherichia coli]
NCBI	Bla|TEM-191|JF949916|1-757|757|betalactams|Class_A_betalactamases|TEM	gi|351735910|gb|JF949916.1|1-757
Lahey	Bla|CARB-2_1_M69058|betalactams|Class_A_betalactamases|CARB	AAA25740.1 M69058.1:98-1012
NCBI	Bla|CARB-2_1_M69058|betalactams|Class_A_betalactamases|CARB	gi|829496271|gb|KP420006.1|1311-2225 gi|815968487|gb|CP011317.1|5587344-5588258 gi|800908878|gb|KP345882.1|99060-98146 gi|777182157|emb|LN829403.1|70598-71512 gi|766547679|gb|KP116299.1|40771-41685 gi|742994109|gb|CP010391.1|50800-49886 gi|704485843|gb|KJ186153.1|37274-38188 gi|686483924|gb|KM111262.1|119-1033 gi|675294670|dbj|AB985401.1|975-1889 gi|660573358|gb|CP008790.1|139065-139979
Resfinder	Bla|CARB-2_1_M69058|betalactams|Class_A_betalactamases|CARB	blaCARB-2_1_M69058
NCBI	ACou|CP001138.1|gene3336|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	gi|807109228|gb|CP011259.1|300881-298989 gi|563346448|gb|CP006876.1|3233088-3231196 gi|197211055|gb|CP001138.1|3267466-3265574
ARG-ANNOT	Rif|Arr2|JQ639792|1050-1502|453|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR	(Rif)Arr2:JQ639792:1050-1502:453
CARD	Rif|Arr2|JQ639792|1050-1502|453|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR	@phgb|AF078527|4387-4840|ARO:3002847|arr-2 [Pseudomonas aeruginosa]
NCBI	Rif|Arr2|JQ639792|1050-1502|453|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR	gi|971497538|gb|CP012902.1|80069-79617 gi|969995310|gb|KT317086.1|971-1423 gi|969995276|gb|KT317085.1|13080-13532 gi|958102843|emb|LN824133.1|2810944-2811396 gi|930425908|gb|KR067585.1|109-561 gi|925170817|gb|KR337990.1|2603-3055 gi|884906146|gb|CP012007.1|94793-94341 gi|823682865|emb|LN831184.1|250675-250223 gi|822476033|dbj|LC055503.1|101042-101494 gi|746616805|gb|KJ187752.1|73330-73782
Resfinder	Rif|Arr2|JQ639792|1050-1502|453|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR	ARR-2_1_HQ141279
ARG-ANNOT	Bla|TEM-97|AF397066|1-861|861|betalactams|Class_A_betalactamases|TEM	(Bla)TEM-97:AF397066:1-861:861;(Bla)TEM-99:AF397066:1-861:861
Lahey	Bla|TEM-97|AF397066|1-861|861|betalactams|Class_A_betalactamases|TEM	AAK85243.1 AF397066.1:1-861
NCBI	Bla|TEM-97|AF397066|1-861|861|betalactams|Class_A_betalactamases|TEM	gi|15149325|gb|AF397066.1|AF397066|1-861
Resfinder	Bla|TEM-97|AF397066|1-861|861|betalactams|Class_A_betalactamases|TEM	blaTEM-99_1_AF397066
ARG-ANNOT	Bla|VIM-6|AY165025|1-801|801|betalactams|Class_B_betalactamases|VIM	(Bla)VIM-6:AY165025:1-801:801
CARD	Bla|VIM-6|AY165025|1-801|801|betalactams|Class_B_betalactamases|VIM	@phgb|AY165025|0-801|ARO:3002276|VIM-6 [Pseudomonas putida]
Lahey	Bla|VIM-6|AY165025|1-801|801|betalactams|Class_B_betalactamases|VIM	AAN84550.1 AY165025.1:1-801
NCBI	Bla|VIM-6|AY165025|1-801|801|betalactams|Class_B_betalactamases|VIM	gi|925170830|gb|KR337993.1|115-915 gi|825088620|gb|KP975076.1|26784-25984 gi|222446218|emb|FM994936.1|972-1772 gi|152143890|gb|EF645347.1|1-801 gi|145321079|gb|EF522838.1|1057-1857 gi|26892103|gb|AY165025.1|1-801
Resfinder	Bla|VIM-6|AY165025|1-801|801|betalactams|Class_B_betalactamases|VIM	blaVIM-6_1_AY165025
ARG-ANNOT	1923|HQ185697.1|HQ185697|betalactams|Class_C_betalactamases|CMY	(Bla)CMY-58:HQ185697:1268-2413:1146
CARD	1923|HQ185697.1|HQ185697|betalactams|Class_C_betalactamases|CMY	@phgb|HQ185697|1267-2413|ARO:3002072|CMY-58 [Escherichia coli]
Lahey	1923|HQ185697.1|HQ185697|betalactams|Class_C_betalactamases|CMY	ADY19254.1 HQ185697.1:1268-2413
NCBI	1923|HQ185697.1|HQ185697|betalactams|Class_C_betalactamases|CMY	gi|695224888|ref|NG_041181.1|1268-2413
Resfinder	1923|HQ185697.1|HQ185697|betalactams|Class_C_betalactamases|CMY	blaCMY-58_1_HQ185697
ARG-ANNOT	Gly|VanS-Pt2|DQ018710|3721-4881|1161|Glycopeptides|VanA-type_regulator|VANSA	(Gly)VanS-Pt2:DQ018710:3721-4881:1161
NCBI	Gly|VanS-Pt2|DQ018710|3721-4881|1161|Glycopeptides|VanA-type_regulator|VANSA	gi|66731632|gb|DQ018710.1|3721-4881
Resfinder	Gly|VanS-Pt2|DQ018710|3721-4881|1161|Glycopeptides|VanA-type_regulator|VANSA	VanS-Pt_3_DQ018710
NCBI	Sul|CP000768.1|gene1044|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation	gi|152938384|gb|CP000768.1|958384-957242
NCBI	Gly|VanH-D_1_AB242319|Glycopeptides|VanD-type_resistance_protein|VANHD	gi|109240378|dbj|AB242319.1|3045-4016 gi|54114872|dbj|AB183866.1|1-79
Resfinder	Gly|VanH-D_1_AB242319|Glycopeptides|VanD-type_resistance_protein|VANHD	VanH-D_1_AB242319
NCBI	MLS|lsaA_3_AY737526|MLS|Streptogramin_resistance_ATP-binding_cassette_ABC_efflux_pumps|LSA	gi|56792345|gb|AY737526.1|312-1808
Resfinder	MLS|lsaA_3_AY737526|MLS|Streptogramin_resistance_ATP-binding_cassette_ABC_efflux_pumps|LSA	lsa(A)_3_AY737526
ARG-ANNOT	Bla|TEM-190|JN416112|1-861|861|betalactams|Class_A_betalactamases|TEM	(Bla)TEM-190:JN416112:1-861:861
CARD	Bla|TEM-190|JN416112|1-861|861|betalactams|Class_A_betalactamases|TEM	@phgb|JN416112|0-861|ARO:3001050|TEM-190 [Escherichia coli]
Lahey	Bla|TEM-190|JN416112|1-861|861|betalactams|Class_A_betalactamases|TEM	AEL88240.1 JN416112.1:1-861
NCBI	Bla|TEM-190|JN416112|1-861|861|betalactams|Class_A_betalactamases|TEM	gi|343114808|gb|JN416112.1|1-861
Resfinder	Bla|TEM-190|JN416112|1-861|861|betalactams|Class_A_betalactamases|TEM	blaTEM-190_1_JN416112
NCBI	736|JX560992.1|JX560992|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	gi|695227123|ref|NG_041616.1|3848-5323 gi|222121345|dbj|AP009486.1|44169-45644 gi|974700633|dbj|AP017321.1|1566-2997 gi|937637449|gb|KT601170.1|53744-52313 gi|908234448|gb|CP010309.1|342355-340924 gi|841330217|emb|LN866849.1|1591032-1592463 gi|822490352|gb|CP003939.1|1724076-1722645 gi|807232188|gb|CP011116.1|1632281-1630850 gi|756766642|gb|KJ922127.1|19639-18208 gi|748807120|gb|CP010526.1|59777-61208
CARD	Phe|AF252855.1|gene1|Phenicol|Phenicol_efflux_pumps|FLOR	@phgb|AF252855|66-1281|ARO:3002705|floR [Escherichia coli]
NCBI	Phe|AF252855.1|gene1|Phenicol|Phenicol_efflux_pumps|FLOR	gi|56607128|gb|AY775258.1|534-1748 gi|10697322|gb|AF252855.1|AF252855|67-1281
NCBI	ACou|NC_007793.3913375|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	gi|974161314|gb|CP012018.1|1461272-1463269 gi|974158397|gb|CP012015.1|1462004-1464001 gi|974155539|gb|CP012013.1|1462916-1464913 gi|974152716|gb|CP012012.1|1454796-1456793 gi|974149849|gb|CP012011.1|1510750-1512747 gi|941146344|gb|CP007676.1|1356392-1358389 gi|941142962|gb|CP007672.1|1354606-1356603 gi|941139768|gb|CP007657.1|1368324-1370321 gi|899756207|gb|CP012119.1|537344-535347 gi|899750970|gb|CP012120.1|2435918-2433921
CARD	Rif|NC_002695.1.914942|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	@pvgb|NC_002695|4990140-4994169|ARO:3003288|Escherichia coli rpoB mutants conferring resistance to rifampicin [Escherichia coli O157:H7 str. Sakai]
NCBI	Rif|NC_002695.1.914942|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	gi|937297913|gb|CP012802.1|4862520-4866548 gi|667689599|gb|CP008957.1|5077767-5081795 gi|386794017|gb|CP001925.1|4916880-4920908 gi|374356928|gb|CP003109.1|4786110-4790138 gi|290760697|gb|CP001846.1|4877781-4881809 gi|209751807|gb|EU891630.1|1-4029 gi|47118301|dbj|BA000007.2|4990141-4994169
ARG-ANNOT	Bla|OXA-69|AY750911|1-825|825|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-69:AY750911:1-825:825
CARD	Bla|OXA-69|AY750911|1-825|825|betalactams|Class_D_betalactamases|OXA	@phgb|NC_010410|2175316-2176141|ARO:3001617|OXA-69 [Acinetobacter baumannii AYE]
Lahey	Bla|OXA-69|AY750911|1-825|825|betalactams|Class_D_betalactamases|OXA	AAW81340.1 AY750911.1:1-825
