Database,Source_header,MEGARes_header,UpdatedHeader
CARD,CARD|gb|GU295656.1|+|1047-1296|ARO:3004556|dfrB7 [Aeromonas hydrophila] Partial,MEG_2568|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB,
CARD,CARD|gb|KP314737.1|+|74-311|ARO:3004498|dfrB4 [Escherichia coli] ,MEG_2569|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB,
ResFinder,dfrB3_2_FM877478 ,MEG_2570|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB,
ResFinder,dfrB7_1_DQ993182 ,MEG_2571|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB,
ARG-ANNOT,(Tmt)DfrC:Z48233:337-822:486,MEG_2572|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRC|RequiresSNPConfirmation,
NCBI,gi|974700633|dbj|AP017321.1|36923-36438 gi|937264049|gb|KT429160.1|125882-125397 gi|899750899|gb|CP012121.1|26810-27295 gi|828461663|gb|CP007674.1|38226-38711 gi|675304693|gb|CP007500.1|24476-24961 gi|302749911|gb|CP002120.1|2093788-2093303 gi|300492196|gb|GU565967.1|16269-16754 gi|260177120|gb|GQ900494.1|24792-25277 gi|260066135|gb|GQ900433.1|42239-42724 gi|260066123|gb|GQ900421.1|48939-49424,MEG_2573|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRC|RequiresSNPConfirmation,
ARG-ANNOT,(Tmt)DfrD:Z50141:94-582:489,MEG_2574|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRD,
CARD,CARD|gb|U43152|+|93-582|ARO:3002866|dfrD [Listeria monocytogenes] ,MEG_2575|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRD,
NCBI,gi|508787714|gb|KC456362.1|6471-6990 gi|1150986|gb|U43152.1|LMU43152|63-582 gi|1244654|gb|U40997.1|LMU40997|2158-2677,MEG_2576|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRD,
CARD,CARD|gb|AIIS01000002.1|-|233812-234307|ARO:3002875|dfrE [Enterococcus faecalis EnGen0074] ,MEG_2577|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRE,
CARD,CARD|gb|AF028812|+|392-887|ARO:3002867|dfrF [Enterococcus faecalis] ,MEG_2578|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRF,
CARD,CARD|gb|AB205645|+|1012-1510|ARO:3002868|dfrG [Staphylococcus aureus] ,MEG_2579|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRG,
CARD,CARD|gb|CP000602.1|-|93826-94402|ARO:3004645|dfrI [Yersinia ruckeri] ,MEG_2580|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRI,
ARG-ANNOT,(Tmt)DfrK:FM207105:2788-3279:492,MEG_2581|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRK,
CARD,CARD|gb|FN812951|+|0-492|ARO:3002869|dfrK [Staphylococcus aureus] ,MEG_2582|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRK,
NCBI,gi|383081523|emb|FR849910.1|3794-4285 gi|302064329|emb|FN677369.2|3839-4330,MEG_2583|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRK,
AMRFinder,1149331619|WP_077767294.1|NG_052903|1|1|blaDHA-25|blaDHA|class_C_beta-lactamase_DHA-25 NG_052903:1-1140,MEG_2584|Drugs|betalactams|Class_C_betalactamases|DHA,
AMRFinder,490356613|WP_004236386.1|NG_049055|1|1|blaDHA-1|blaDHA|class_C_beta-lactamase_DHA-1 NG_049055:101-1240,MEG_2585|Drugs|betalactams|Class_C_betalactamases|DHA,
AMRFinder,1028104928|WP_063860114.1|NG_049070|1|1|blaDHA-24|blaDHA|class_C_beta-lactamase_DHA-24 NG_049070:1-1140,MEG_2586|Drugs|betalactams|Class_C_betalactamases|DHA,
AMRFinder,1028104922|WP_063860108.1|NG_049069|1|1|blaDHA-23|blaDHA|class_C_beta-lactamase_DHA-23 NG_049069:1-1140,MEG_2587|Drugs|betalactams|Class_C_betalactamases|DHA,
AMRFinder,1391852883|WP_109545068.1|NG_057482|1|1|blaDHA-26|blaDHA|class_C_beta-lactamase_DHA-26 NG_057482:1-1140,MEG_2588|Drugs|betalactams|Class_C_betalactamases|DHA,
AMRFinder,1391852882|WP_109545067.1|NG_057481|1|1|blaDHA-27|blaDHA|class_C_beta-lactamase_DHA-27 NG_057481:1-1140,MEG_2589|Drugs|betalactams|Class_C_betalactamases|DHA,
AMRFinder,1559612971|WP_128268236.1|NG_063839|1|1|blaDHA-28|blaDHA|class_C_beta-lactamase_DHA-28 NG_063839:1-1140,MEG_2590|Drugs|betalactams|Class_C_betalactamases|DHA,
AMRFinder,692181423|WP_032097955.1|NG_049072|1|1|blaDHA-4|blaDHA|class_C_beta-lactamase_DHA-4 NG_049072:101-1240,MEG_2591|Drugs|betalactams|Class_C_betalactamases|DHA,
ARG-ANNOT,(Bla)Mor-2:AY235804:110-1249:1140,MEG_2592|Drugs|betalactams|Class_C_betalactamases|DHA,
ARG-ANNOT,(Bla)MOR:Y10283:546-1685:1140,MEG_2593|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|AF259520|+|1512-2652|ARO:3002133|DHA-2 [Klebsiella pneumoniae] ,MEG_2594|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|AY494945|+|1309-2449|ARO:3002134|DHA-3 [Klebsiella pneumoniae] ,MEG_2595|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|HG798963|+|0-1140|ARO:3002143|DHA-12 [Proteus mirabilis] ,MEG_2596|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|HQ322612|+|0-1140|ARO:3002135|DHA-6 [Escherichia coli] ,MEG_2597|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|HQ456945|+|0-1140|ARO:3002136|DHA-7 [Enterobacter cloacae] ,MEG_2598|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|JF273491|+|745-1885|ARO:3002138|DHA-5 [Morganella morganii] ,MEG_2599|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|KJ207201.1|+|951-2091|ARO:3002140|DHA-9 [Morganella morganii] Partial,MEG_2600|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|KM087841|+|0-1140|ARO:3002149|DHA-18 [Morganella morganii] ,MEG_2601|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|KM087847|+|0-1140|ARO:3002152|DHA-21 [Morganella morganii] ,MEG_2602|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|KM087848|+|0-1140|ARO:3002151|DHA-20 [Citrobacter koseri] ,MEG_2603|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|KM087849|+|0-1140|ARO:3002150|DHA-19 [Morganella morganii] ,MEG_2604|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|KM087850|+|0-1140|ARO:3002148|DHA-17 [Morganella morganii] ,MEG_2605|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|KM087852|+|0-1140|ARO:3002147|DHA-16 [Morganella morganii] ,MEG_2606|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|KM087853|+|0-1140|ARO:3002146|DHA-15 [Klebsiella pneumoniae] ,MEG_2607|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|KM087854|+|0-1140|ARO:3002145|DHA-14 [Morganella morganii] ,MEG_2608|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|KM087855|+|0-1140|ARO:3002144|DHA-13 [Morganella morganii] ,MEG_2609|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|KM087856|+|0-1140|ARO:3002153|DHA-22 [Escherichia coli] ,MEG_2610|Drugs|betalactams|Class_C_betalactamases|DHA,
CARD,CARD|gb|KP050490|+|0-1140|ARO:3002141|DHA-10 [Morganella morganii] ,MEG_2611|Drugs|betalactams|Class_C_betalactamases|DHA,
NCBI,gi|944204231|gb|KR733543.1|2853-3063 gi|823683259|emb|LN831185.1|84631-84421 gi|746616805|gb|KJ187752.1|36297-36507 gi|746616518|gb|KF856624.1|43384-43594 gi|695227729|ref|NG_041672.1|7809-8019 gi|532025274|gb|KC999035.1|20157-20367 gi|485460042|dbj|AB759690.1|34730-34940 gi|429345463|gb|JX988621.1|49758-49968 gi|335355361|gb|JF922606.1|2937-3147 gi|323700877|gb|HQ451074.1|12301-12511,MEG_2612|Drugs|betalactams|Class_C_betalactamases|DHA,
ResFinder,blaDHA-14_1_DQ478687,MEG_2613|Drugs|betalactams|Class_C_betalactamases|DHA,
ARG-ANNOT,(Phe)Dha1:BA000018:2517801-2518988:1188,MEG_2614|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|DHAP,
ARG-ANNOT,(Tmt)Dfr16:AF077008:115-558:474,MEG_2615|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
ARG-ANNOT,(Tmt)Dfr22:AJ628423:325-822:498,MEG_2616|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
ARG-ANNOT,(Tmt)Dfr23:AJ746361:6743-7403:561,MEG_2617|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
ARG-ANNOT,(Tmt)DfrA1:JQ794607:474:59-532,MEG_2618|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
ARG-ANNOT,(Tmt)DfrA14:GU726917:72-545:474,MEG_2619|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
ARG-ANNOT,(Tmt)DfrA15:JN108895:93-551:474,MEG_2620|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
ARG-ANNOT,(Tmt)DfrA15b:AJ867237:177-650:474,MEG_2621|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
ARG-ANNOT,(Tmt)DfrA29:AM237806:615-1086:472,MEG_2622|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
ARG-ANNOT,(Tmt)DfrA31:AB200915:1832-2305:474,MEG_2623|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
ARG-ANNOT,(Tmt)DfrA6:Z86002:336-809:474,MEG_2624|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
CARD,CARD|gb|AF174129|+|1351-1825|ARO:3003014|dfrA16 [Escherichia coli] ,MEG_2625|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
CARD,CARD|gb|AJ605332|+|1303-1813|ARO:3003016|dfrA20 [Pasteurella multocida] ,MEG_2626|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
CARD,CARD|gb|AJ972619|+|82-640|ARO:3002856|dfrA24 [Escherichia coli] ,MEG_2627|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
CARD,CARD|gb|AM997279.2|+|704-1178|ARO:3004552|dfrA30 [Klebsiella sp. MB45] ,MEG_2628|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
CARD,CARD|gb|DQ267940|+|53-512|ARO:3003020|dfrA25 [Salmonella enterica subsp. enterica serovar Agona] ,MEG_2629|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
CARD,CARD|gb|EU780012|+|2162-2645|ARO:3002859|dfrA14 [Escherichia coli] ,MEG_2630|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
CARD,CARD|gb|FM957884|+|87-585|ARO:3003018|dfrA22 [uncultured bacterium] ,MEG_2631|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
CARD,CARD|gb|GU067642.1|+|534-1008|ARO:3004555|dfrA32 [Salmonella enterica] ,MEG_2632|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
CARD,CARD|gb|KF534911|+|39-513|ARO:3003013|dfrA15 [Escherichia coli] ,MEG_2633|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
CARD,CARD|gb|Z50802|+|717-1215|ARO:3003012|dfrA13 [Escherichia coli] ,MEG_2634|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
NCBI,gi|16945302|emb|AJ419168.1|118-591,MEG_2635|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
NCBI,gi|16945307|emb|AJ419170.1|118-687,MEG_2636|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
NCBI,gi|197244608|emb|FM207631.1|849-1322,MEG_2637|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
NCBI,gi|262113296|emb|FN561628.1|132-737 gi|971888686|gb|KT884517.1|37477-37866,MEG_2638|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
NCBI,gi|297787483|gb|GU585907.1|44348-43875 gi|695210321|ref|NG_035929.1|10420-10893 gi|695211797|ref|NG_036253.1|2384-2856 gi|6970049|gb|AF203818.1|85-557,MEG_2639|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
NCBI,gi|4688831|emb|AJ238350.1|77-550,MEG_2640|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
NCBI,gi|695210938|ref|NG_035982.1|1292-1813,MEG_2641|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
NCBI,gi|701224647|gb|KF914290.1|82-555 gi|569555425|gb|CP004000.1|124983-125456 gi|695225780|ref|NG_041408.1|1-474 gi|186920237|gb|EU622856.1|205-678 gi|62719426|gb|AY913772.1|966-1439 gi|6752459|gb|AF156486.1|AF156486|2877-3350,MEG_2642|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
NCBI,gi|71060395|emb|AJ844287.1|118-591,MEG_2643|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
NCBI,gi|88604678|gb|DQ388123.1|107-589,MEG_2644|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
NCBI,gi|950038|emb|Z50805.1|72-545,MEG_2645|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
NCBI,gi|975048878|gb|CP013962.1|862023-861550 gi|944374642|gb|KT692980.1|113-586 gi|944398239|gb|CP013025.1|2322871-2323344 gi|941350200|gb|KT345946.1|27295-27768 gi|939537623|gb|KR610435.1|69-542 gi|925216761|gb|KR028103.1|76-549 gi|768032417|gb|KM975296.1|2091-2564 gi|768032383|gb|KM975295.1|2091-2564 gi|768032333|gb|KM514484.1|2091-2564 gi|762036447|gb|CP010373.2|119258-118785,MEG_2646|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,
CARD,CARD|gb|J03306|+|0-489|ARO:3003105|dfrA3 [Plasmid pAZ1] ,MEG_2647|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFRIII|RequiresSNPConfirmation,
AMRFinder,1509794520|WP_122630829.1|NG_062233|1|1|blaDHT2-1|blaDHT2|subclass_B3_metallo-beta-lactamase_DHT2-1 NG_062233:1-909,MEG_2648|Drugs|betalactams|Class_B_betalactamases|DHT,
CARD,CARD|gb|KC004136|+|40-796|ARO:3000848|DIM-1 beta-lactamase [Enterobacter sp. SL1] ,MEG_2649|Drugs|betalactams|Class_B_betalactamases|DIM,
BacMet,dmeF|ABF07084|ABF07084.1CupriavidusmetalliduransCH34Co/Zn/Cdeffluxsystemcomponent,MEG_2650|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DMEF,
BacMet,dmeF|CAK06848|CAK06848.1Rhizobiumleguminosarumbv.viciae3841putativecationeffluxsystemprotein,MEG_2651|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DMEF,
BacMet,dmeR|CAK06847|CAK06847.1Rhizobiumleguminosarumbv.viciae3841conservedhypotheticalprotein:Location:1..273,MEG_2652|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|DMER,
BacMet,dnaK|AAK44587|AAK44587.2MycobacteriumtuberculosisCDC1551dnaKprotein,MEG_2653|Metals|Copper_resistance|Copper_resistance_protein|DNAK,
BacMet,dnaK|AFM37299|AFM37299.1Mycobacteriumtuberculosisheatshockprotein70,MEG_2654|Metals|Copper_resistance|Copper_resistance_protein|DNAK,
BacMet,dpr/dps|AAG33871|AAG33871.1StreptococcussuisDpr:Location:1..519,MEG_2655|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,
BacMet,dpr/dps|CAH55666|CAH55666.1StreptococcussuisDprprotein:Location:1..519,MEG_2656|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,
BacMet,dpr/dps|CAH55667|CAH55667.1StreptococcussuisDprprotein:Location:1..519,MEG_2657|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,
BacMet,dpr/dps|CAH55668|CAH55668.1StreptococcussuisDprprotein:Location:1..519,MEG_2658|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,
BacMet,dpr/dps|CAH55669|CAH55669.1StreptococcussuisDprprotein:Location:1..519,MEG_2659|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,
BacMet,dpr/dps|CAH55670|CAH55670.1StreptococcussuisDprprotein:Location:1..519,MEG_2660|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,
BacMet,dpr/dps|CAH55671|CAH55671.1StreptococcussuisDprprotein:Location:1..519,MEG_2661|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,
BacMet,dpr/dps|CAH55672|CAH55672.1StreptococcussuisDprprotein:Location:1..519,MEG_2662|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,
BacMet,dpsA|AAN04250|AAN04250.3BurkholderiapseudomalleiDpsA:Location:1..489,MEG_2663|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,
BacMet,dpsA|AIO13616|AIO13616.1Burkholderiapseudomalleiferritin-likedomainprotein:Location:1..489,MEG_2664|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,
BacMet,dpsA|AIP04246|AIP04246.1Burkholderiapseudomalleiferritin-likedomainprotein:Location:1..489,MEG_2665|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,
BacMet,dpsA|AIP15353|AIP15353.1Burkholderiapseudomalleiferritin-likedomainprotein:Location:1..489,MEG_2666|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,
BacMet,dpsA|KGC42256|KGC42256.1Burkholderiapseudomalleiferritin-likedomainprotein:Location:1..489,MEG_2667|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,
BacMet,dpsA|KGC58646|KGC58646.1Burkholderiapseudomalleiferritin-likedomainprotein:Location:1..489,MEG_2668|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,
BacMet,dpsA|KGD47805|KGD47805.1Burkholderiapseudomalleiferritin-likedomainprotein:Location:1..489,MEG_2669|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,
NCBI,gi|917646380|gb|CP012382.1|6061034-6060153 gi|159232381|emb|AM709783.1|1007-1888,MEG_2670|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|DRRA,
BacMet,dsbA|AAC43519|AAC43519.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32PP:Location:1..627,MEG_2671|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43520|AAC43520.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32TR:Location:1..627,MEG_2672|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43521|AAC43521.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32LQ:Location:1..627,MEG_2673|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43522|AAC43522.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32VL:Location:1..627,MEG_2674|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43523|AAC43523.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32SF:Location:1..627,MEG_2675|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43524|AAC43524.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32LL:Location:1..627,MEG_2676|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43525|AAC43525.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32QA:Location:1..627,MEG_2677|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43526|AAC43526.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32RC:Location:1..627,MEG_2678|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43527|AAC43527.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32FL:Location:1..627,MEG_2679|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43528|AAC43528.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32ST:Location:1..627,MEG_2680|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43529|AAC43529.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32QL:Location:1..627,MEG_2681|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43530|AAC43530.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32PS:Location:1..627,MEG_2682|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43531|AAC43531.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32LT:Location:1..627,MEG_2683|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43532|AAC43532.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32AL:Location:1..627,MEG_2684|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43533|AAC43533.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32SV:Location:1..627,MEG_2685|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43534|AAC43534.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32PR:Location:1..627,MEG_2686|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|AAC43535|AAC43535.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32PL:Location:1..627,MEG_2687|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbA|CAA56736|CAA56736.1Escherichiacolihypotheticalprotein:Location:1..627,MEG_2688|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,
BacMet,dsbB|AAA23711|AAA23711.1Escherichiacolioxido-reductase:Location:1..537,MEG_2689|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,
BacMet,dsbB|AAC74269|AAC74269.3Escherichiacolistr.K-12substr.MG1655oxidoreductasethatcatalyzesreoxidationofDsbAproteindisulfideisomeraseI:Location:1..531,MEG_2690|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,
BacMet,dsbC|AAA62788|AAA62788.1Escherichiacolihypotheticalprotein:Location:1..708,MEG_2691|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBC,
BacMet,"dsbC|AAA83074|AAA83074.1Escherichiacolithiol:disulfideinterchangeprotein,precursor:Location:1..711",MEG_2692|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBC,
AMRFinder,488224967|WP_002296175.1|NG_047762|1|1|eat(A)|eat(A)|ABC-F_type_ribosomal_protection_protein_Eat(A) NG_047762:101-1603,MEG_2693|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|EATAV|RequiresSNPConfirmation,
CARD,CARD|gb|KF010779.1|+|0-1503|ARO:3003761|eatAv [Enterococcus faecium] ,MEG_2694|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|EATAV|RequiresSNPConfirmation,
CARD,CARD|gb|AF416700|+|56-764|ARO:3000842|EBR-1 beta-lactamase [Empedobacter brevis] ,MEG_2695|Drugs|betalactams|Class_B_betalactamases|EBR,
CARD,CARD|gb|KR131616.1|+|0-708|ARO:3004463|EBR-2 [Empedobacter falsenii] ,MEG_2696|Drugs|betalactams|Class_B_betalactamases|EBR,
BacMet,ebrA|BAA88575|BAA88575.1BacillussubtilisEbrA:Location:1..318,MEG_2697|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|EBRA,
BacMet,ebrB|BAA88576|BAA88576.1BacillussubtilisEbrB:Location:1..357,MEG_2698|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|EBRB,
AMRFinder,505079325|WP_015266427.1|NG_059320|1|1|blaECV-1|blaECV|subclass_B1_metallo-beta-lactamase_ECV-1 NG_059320:101-874,MEG_2699|Drugs|betalactams|Class_B_betalactamases|ECV,
CARD,CARD|gb|KC771276.1|+|44894-45332|ARO:3004063|EdeQ [Brevibacillus brevis] ,MEG_2700|Drugs|Cationic_antimicrobial_peptides|Edeine_acetyltransferase|EDEQ,
BacMet,eefA|ABV24994|ABV24994.1KlebsiellapneumoniaeEefA,MEG_2701|Biocides|Acid_resistance|Acid_resistance_protein|EEFA,
BacMet,eefX|ABV24993|ABV24993.1KlebsiellapneumoniaeEefX:Location:1..186,MEG_2702|Biocides|Acid_resistance|Acid_resistance_protein|EEFX,
AMRFinder,1509794513|WP_122630822.1|NG_062204|1|1|blaEFM-1|blaEFM|subclass_B3_metallo-beta-lactamase_EFM-1 NG_062204:1-909,MEG_2703|Drugs|betalactams|Class_B_betalactamases|EFM,
CARD,CARD|gb|AB467372.1|+|284-1571|ARO:3003954|efmA [Enterococcus faecium] ,MEG_2704|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EFMA,
CARD,CARD|gb|AL123456.3|-|3153038-3154631|ARO:3003955|efpA [Mycobacterium tuberculosis H37Rv] ,MEG_2705|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EFPA,
CARD,CARD|gb|HG970100.1|+|0-1457|ARO:3003948|efrA [Enterococcus faecium] ,MEG_2706|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|EFRA,
