S1_test,S3_test,S2_test
MEG_3102|Drugs|betalactams|Class_A_betalactamases|GES,4.0,2.0,2.0
MEG_4861|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,4.0,2.0
MEG_2345|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,4.0,2.0
MEG_5175|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,4.0,2.0
MEG_5303|Drugs|betalactams|Class_A_betalactamases|OXY,4.0,4.0,0
MEG_829|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,2.0,0
MEG_4141|Drugs|betalactams|Class_B_betalactamases|NDM,0,12.0,0
MEG_6185|Drugs|betalactams|Class_A_betalactamases|SFO,2.0,8.0,2.0
MEG_3814|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,2.0,2.0,0
MEG_3095|Drugs|betalactams|Class_A_betalactamases|GES,2.0,0,0
MEG_5112|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_6708|Drugs|betalactams|Class_A_betalactamases|TEM,0,2.0,0
MEG_6344|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,0,0
MEG_6073|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTG,2.0,4.0,2.0
MEG_6605|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,2.0,4.0,2.0
MEG_5764|Drugs|betalactams|Class_A_betalactamases|PER,2.0,2.0,2.0
MEG_2949|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,4.0,0
MEG_7179|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,4.0,0,0
MEG_2815|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,4.0,8.0,4.0
MEG_7545|Drugs|Glycopeptides|VanI-type_accessory_protein|VANWI,2.0,10.0,0
MEG_4256|Drugs|betalactams|Class_A_betalactamases|OKP,0,2.0,0
MEG_2422|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,0,2.0
MEG_2175|Drugs|betalactams|Class_A_betalactamases|CTX,6.0,2.0,4.0
MEG_2224|Drugs|betalactams|Class_A_betalactamases|CTX,0,4.0,0
MEG_5921|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,4.0,2.0,4.0
MEG_4867|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,2.0,2.0
MEG_2429|Drugs|betalactams|Class_A_betalactamases|CTX,8.0,2.0,4.0
MEG_7157|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,2.0,0,2.0
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,6.0,12.0,2.0
MEG_2997|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,4.0,2.0,2.0
MEG_3823|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,3.0,2.0,3.0
MEG_3067|Drugs|Fusidic_acid|Ribosomal_zinc-binding_protein|FUSB,2.0,2.0,2.0
MEG_7121|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,4.0,6.0,0
MEG_1826|Drugs|betalactams|Class_C_betalactamases|CMY,4.0,8.0,0
MEG_293|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,4.0,4.0,0
MEG_3754|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG,2.0,4.0,0
MEG_5808|Drugs|Multi-drug_resistance|MDR_mutant_porin_proteins|POR|RequiresSNPConfirmation,10.0,9.0,5.0
MEG_1905|Drugs|betalactams|Class_C_betalactamases|CMY,0,4.0,0
MEG_5048|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,4.0,0
MEG_6879|Drugs|betalactams|Class_A_betalactamases|TEM,6.0,4.0,2.0
MEG_702|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEN,4.0,4.0,4.0
MEG_2792|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,6.0,0,2.0
MEG_4850|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_7632|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATE,2.0,0,0
MEG_1691|Drugs|betalactams|Class_A_betalactamases|CFX,2.0,8.0,2.0
MEG_6176|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|SDIA,0,4.0,0
MEG_6373|Drugs|betalactams|Class_A_betalactamases|SHV,6.0,10.0,2.0
MEG_6723|Drugs|betalactams|Class_A_betalactamases|TEM,6.0,8.0,6.0
MEG_5362|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,12.0,12.0,0
MEG_779|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,2.0,0
MEG_1693|Drugs|betalactams|Class_A_betalactamases|CFX,0,2.0,0
MEG_5082|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_3777|Drugs|betalactams|Penicillin_binding_protein|MECA,8.0,8.0,6.0
MEG_6740|Drugs|betalactams|Class_A_betalactamases|TEM,2.0,6.0,0
MEG_1581|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,2.0,0,0
MEG_1220|Drugs|betalactams|Class_A_betalactamases|BEL,0,2.0,0
MEG_322|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,4.0,2.0,2.0
MEG_4235|Drugs|betalactams|Class_A_betalactamases|OKP,0,2.0,0
MEG_4240|Drugs|betalactams|Class_A_betalactamases|OKP,0,2.0,0
MEG_7622|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATB,0,2.0,0
MEG_1858|Drugs|betalactams|Class_C_betalactamases|CMY,2.0,4.0,0
MEG_3239|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation,16.0,22.0,10.0
MEG_4495|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,2.0,2.0
MEG_6609|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,4.0,2.0,4.0
MEG_7621|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATA,4.0,2.0,0
MEG_6228|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,0,2.0
MEG_1570|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,2.0,0,0
MEG_7367|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,0,4.0,0
MEG_3154|Drugs|betalactams|Class_B_betalactamases|GOB,4.0,6.0,2.0
MEG_1884|Drugs|betalactams|Class_C_betalactamases|CMY,0,6.0,0
MEG_4947|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,2.0,0
MEG_5360|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,12.0,20.0,6.0
MEG_3930|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR,0,2.0,0
MEG_2540|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,2.0,2.0,2.0
MEG_6691|Drugs|betalactams|Class_A_betalactamases|TEM,0,8.0,2.0
MEG_1974|Drugs|betalactams|Class_C_betalactamases|CMY,4.0,8.0,2.0
MEG_955|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,2.0,0
MEG_1322|Drugs|betalactams|Class_A_betalactamases|BLAZ,6.0,8.0,6.0
MEG_3368|Drugs|betalactams|Class_B_betalactamases|IMP,2.0,0,0
MEG_1889|Drugs|betalactams|Class_C_betalactamases|CMY,6.0,4.0,4.0
MEG_6777|Drugs|betalactams|Class_A_betalactamases|TEM,8.0,0,4.0
MEG_6923|Drugs|betalactams|Class_A_betalactamases|TEM,2.0,6.0,0
MEG_7434|Drugs|Glycopeptides|VanD-type_resistance_protein|VANHD,6.0,8.0,0
MEG_1086|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,0,4.0,0
MEG_5310|Drugs|betalactams|Class_A_betalactamases|OXY,4.0,0,2.0
MEG_7663|Drugs|betalactams|Class_A_betalactamases|VEB,4.0,0,0
MEG_4942|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,2.0,0
MEG_2326|Drugs|betalactams|Class_A_betalactamases|CTX,4.0,8.0,2.0
MEG_3505|Drugs|betalactams|Class_A_betalactamases|KPC,2.0,4.0,0
MEG_271|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2.0,2.0,2.0
MEG_6895|Drugs|betalactams|Class_A_betalactamases|TEM,4.0,8.0,2.0
MEG_4873|Drugs|betalactams|Class_D_betalactamases|OXA,6.0,4.0,4.0
MEG_5111|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_6970|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,0,4.0,0
MEG_5766|Drugs|betalactams|Class_A_betalactamases|PER,4.0,0,4.0
MEG_7722|Drugs|betalactams|Class_B_betalactamases|VIM,0,2.0,0
MEG_3772|Drugs|betalactams|Penicillin_binding_protein|MECA,8.0,6.0,8.0
MEG_4975|Drugs|betalactams|Class_D_betalactamases|OXA,6.0,4.0,4.0
MEG_5062|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,12.0,2.0
MEG_3218|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,20.0,24.0,10.0
MEG_3764|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTO,8.0,6.0,4.0
MEG_7742|Drugs|betalactams|Class_B_betalactamases|VIM,4.0,0,2.0
MEG_2108|Drugs|betalactams|Class_B_betalactamases|CPHA,4.0,8.0,4.0
MEG_2913|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,2.0,0,0
MEG_1019|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,2.0,0
MEG_7050|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,2.0,4.0,2.0
MEG_6372|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,8.0,2.0
MEG_3949|Drugs|betalactams|Class_C_betalactamases|MIR,4.0,4.0,4.0
MEG_5970|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,2.0,0,2.0
MEG_7060|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,6.0,2.0,2.0
MEG_6303|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,4.0,2.0
MEG_4073|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,10.0,18.0,6.0
MEG_5959|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,4.0,0
MEG_2185|Drugs|betalactams|Class_A_betalactamases|CTX,0,2.0,0
MEG_6750|Drugs|betalactams|Class_A_betalactamases|TEM,0,2.0,0
MEG_2190|Drugs|betalactams|Class_A_betalactamases|CTX,4.0,2.0,2.0
MEG_2321|Drugs|betalactams|Class_A_betalactamases|CTX,4.0,2.0,0
MEG_6216|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,6.0,0
MEG_6295|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,4.0,2.0
MEG_567|Drugs|betalactams|Class_C_betalactamases|ADC,0,2.0,0
MEG_307|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2.0,0,0
MEG_7515|Drugs|Glycopeptides|VanM-type_regulator|VANSM,6.0,8.0,4.0
MEG_7409|Drugs|Glycopeptides|VanA-type_resistance_protein|VANHA,8.0,6.0,0
MEG_1189|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,0,8.0,0
MEG_2118|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,12.0,4.0,6.0
MEG_6202|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,6.0,4.0
MEG_5107|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_5041|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,8.0,4.0
MEG_5153|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,2.0,0
MEG_1674|Drugs|betalactams|Class_B_betalactamases|CFIA,0,4.0,0
MEG_3658|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MACB,14.0,18.0,6.0
MEG_3126|Drugs|betalactams|Class_A_betalactamases|GES,0,6.0,0
MEG_5075|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_329|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,8.0,4.0,4.0
MEG_6993|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,6.0,10.0,4.0
MEG_2268|Drugs|betalactams|Class_A_betalactamases|CTX,4.0,10.0,2.0
MEG_6650|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TCR3,6.0,8.0,4.0
MEG_4907|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,4.0,2.0
MEG_46|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,6.0,2.0,4.0
MEG_1695|Drugs|betalactams|Class_A_betalactamases|CFX,2.0,0,0
MEG_6623|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,2.0,2.0,0
MEG_755|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,4.0,2.0,0
MEG_7533|Drugs|Glycopeptides|VanL-type_resistance_protein|VANTML,4.0,8.0,2.0
MEG_4239|Drugs|betalactams|Class_A_betalactamases|OKP,6.0,4.0,4.0
MEG_7186|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,2.0,4.0,2.0
MEG_5147|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,2.0,0
MEG_5935|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,2.0,0,0
MEG_6786|Drugs|betalactams|Class_A_betalactamases|TEM,0,8.0,0
MEG_1728|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CLBC,8.0,10.0,8.0
MEG_6487|Drugs|betalactams|Class_A_betalactamases|SHV,6.0,0,4.0
MEG_794|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,2.0,0
MEG_3088|Drugs|betalactams|Class_A_betalactamases|GES,0,2.0,0
MEG_985|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME,2.0,0,2.0
MEG_6299|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,2.0,2.0
MEG_6442|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,4.0,2.0
MEG_6524|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME,0,4.0,0
MEG_6781|Drugs|betalactams|Class_A_betalactamases|TEM,10.0,8.0,2.0
MEG_4381|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|OTRB,2.0,12.0,0
MEG_7107|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,2.0,2.0,2.0
MEG_1694|Drugs|betalactams|Class_A_betalactamases|CFX,0,4.0,0
MEG_3922|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXQ,2.0,2.0,0
MEG_475|Drugs|betalactams|Class_C_betalactamases|ACT,0,4.0,0
MEG_5097|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_3194|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,8.0,8.0,4.0
MEG_4611|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,0,2.0
MEG_2861|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,2.0,2.0,2.0
MEG_7450|Drugs|Glycopeptides|VanA-type_regulator|VANRA,2.0,2.0,2.0
MEG_6492|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,4.0,2.0
MEG_4883|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,2.0,0
MEG_479|Drugs|betalactams|Class_C_betalactamases|ACT,0,4.0,0
MEG_4868|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_2358|Drugs|betalactams|Class_A_betalactamases|CTX,4.0,2.0,0
MEG_2972|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,4.0,4.0,4.0
MEG_2350|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,2.0,2.0
MEG_6549|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|SOXRB,2.0,0,2.0
MEG_981|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME,0,6.0,0
MEG_2217|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,6.0,0
MEG_289|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,2.0,0
MEG_5288|Drugs|betalactams|Class_A_betalactamases|OXY,6.0,14.0,4.0
MEG_2734|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRR,2.0,4.0,2.0
MEG_178|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2.0,2.0,2.0
MEG_2935|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,4.0,2.0,0
MEG_3917|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXK,12.0,22.0,8.0
MEG_4207|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORA,6.0,6.0,2.0
MEG_6732|Drugs|betalactams|Class_A_betalactamases|TEM,2.0,2.0,0
MEG_1585|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,2.0,0,0
MEG_6525|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME,2.0,6.0,2.0
MEG_1828|Drugs|betalactams|Class_C_betalactamases|CMY,4.0,4.0,2.0
MEG_7460|Drugs|Glycopeptides|VanB-type_regulator|VANRB,0,2.0,0
MEG_3308|Drugs|betalactams|Class_A_betalactamases|IMI,4.0,2.0,2.0
MEG_4938|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,0,4.0
MEG_6905|Drugs|betalactams|Class_A_betalactamases|TEM,6.0,4.0,4.0
MEG_1692|Drugs|betalactams|Class_A_betalactamases|CFX,4.0,4.0,2.0
MEG_4707|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,8.0,0
MEG_5926|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,6.0,6.0,4.0
MEG_1881|Drugs|betalactams|Class_C_betalactamases|CMY,0,10.0,0
MEG_7187|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,2.0,4.0,2.0
MEG_2858|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,4.0,4.0,2.0
MEG_6626|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,6.0,0,2.0
MEG_5924|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,4.0,2.0
MEG_6914|Drugs|betalactams|Class_A_betalactamases|TEM,8.0,4.0,2.0
MEG_2837|Drugs|MLS|23S_rRNA_methyltransferases|ERMH,4.0,6.0,2.0
MEG_2410|Drugs|betalactams|Class_A_betalactamases|CTX,4.0,2.0,4.0
MEG_1979|Drugs|betalactams|Class_C_betalactamases|CMY,8.0,2.0,2.0
MEG_2618|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,2.0,2.0,0
MEG_3588|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,4.0,2.0,2.0
MEG_2166|Drugs|betalactams|Class_A_betalactamases|CTX,0,6.0,0
MEG_6188|Drugs|betalactams|Class_A_betalactamases|SHV,0,8.0,0
MEG_1656|Drugs|betalactams|Class_C_betalactamases|CFE,4.0,4.0,2.0
MEG_1403|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,2.0,0
MEG_6752|Drugs|betalactams|Class_A_betalactamases|TEM,6.0,0,0
MEG_5576|Drugs|betalactams|Class_C_betalactamases|PDC,0,2.0,0
MEG_2178|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,6.0,2.0
MEG_2261|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,6.0,2.0
MEG_4146|Drugs|betalactams|Class_B_betalactamases|NDM,2.0,2.0,0
MEG_5714|Drugs|betalactams|Class_C_betalactamases|PDC,2.0,0,0
MEG_4296|Drugs|betalactams|Mutant_porin_proteins|OPRD|RequiresSNPConfirmation,4.0,2.0,2.0
MEG_7595|Drugs|Glycopeptides|VanA-type_accessory_protein|VANYA,4.0,8.0,0
MEG_7657|Drugs|betalactams|Class_A_betalactamases|VEB,4.0,2.0,0
MEG_7708|Drugs|betalactams|Class_B_betalactamases|VIM,0,4.0,0
MEG_4324|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,2.0,0,2.0
MEG_1369|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,2.0,0
MEG_279|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2.0,2.0,2.0
MEG_5052|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,4.0,2.0
MEG_1949|Drugs|betalactams|Class_C_betalactamases|CMY,6.0,2.0,4.0
MEG_2303|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,6.0,2.0
MEG_6367|Drugs|betalactams|Class_A_betalactamases|SHV,6.0,2.0,2.0
MEG_3129|Drugs|betalactams|Class_A_betalactamases|GES,4.0,2.0,2.0
MEG_1545|Drugs|betalactams|Class_A_betalactamases|CARB,2.0,0,2.0
MEG_6947|Drugs|betalactams|Class_A_betalactamases|TEM,4.0,2.0,4.0
MEG_2300|Drugs|betalactams|Class_A_betalactamases|CTX,6.0,2.0,4.0
MEG_920|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,2.0,2.0,2.0
MEG_1534|Drugs|betalactams|Class_A_betalactamases|CARB,0,4.0,0
MEG_921|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,2.0,0
MEG_1232|Drugs|betalactams|Class_A_betalactamases|BIC,4.0,2.0,2.0
MEG_1852|Drugs|betalactams|Class_C_betalactamases|CMY,4.0,6.0,2.0
MEG_4841|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,2.0,2.0
MEG_7677|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,0,2.0,0
MEG_5767|Drugs|betalactams|Class_A_betalactamases|PER,6.0,6.0,4.0
MEG_1608|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,4.0,0,2.0
MEG_1372|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,2.0,0
MEG_7144|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,8.0,6.0,4.0
MEG_2198|Drugs|betalactams|Class_A_betalactamases|CTX,0,2.0,0
MEG_331|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2.0,0,2.0
MEG_5231|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,4.0,2.0
MEG_1548|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,2.0,0,0
MEG_1606|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,2.0,4.0,2.0
MEG_3630|Drugs|betalactams|Class_B_betalactamases|LRA,2.0,4.0,0
MEG_2786|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,2.0,2.0,0
MEG_2308|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,4.0,2.0
MEG_4062|Drugs|betalactams|Class_B_betalactamases|MSI,2.0,2.0,0
MEG_5018|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,0,4.0
MEG_7650|Drugs|betalactams|Class_A_betalactamases|VEB,2.0,2.0,0
MEG_2644|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0,2.0,0
MEG_7093|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,2.0,2.0,2.0
MEG_4864|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_5890|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,2.0,0
MEG_6460|Drugs|betalactams|Class_A_betalactamases|SHV,0,6.0,0
MEG_4069|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRA,10.0,8.0,4.0
MEG_2160|Drugs|betalactams|Class_A_betalactamases|CTX,0,4.0,0
MEG_7734|Drugs|betalactams|Class_B_betalactamases|VIM,2.0,2.0,0
MEG_5043|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_6611|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,6.0,8.0,2.0
MEG_358|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,2.0,0
MEG_7127|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,2.0,8.0,2.0
MEG_4932|Drugs|betalactams|Class_D_betalactamases|OXA,6.0,10.0,0
MEG_6395|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,0,0
MEG_4424|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,0,0
MEG_1847|Drugs|betalactams|Class_C_betalactamases|CMY,6.0,2.0,0
MEG_3380|Drugs|betalactams|Class_B_betalactamases|IMP,6.0,2.0,4.0
MEG_4904|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,2.0,2.0
MEG_6697|Drugs|betalactams|Class_A_betalactamases|TEM,2.0,0,2.0
MEG_6448|Drugs|betalactams|Class_A_betalactamases|SHV,16.0,6.0,8.0
MEG_2517|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,4.0,0
MEG_3758|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK,0,2.0,0
MEG_6816|Drugs|betalactams|Class_A_betalactamases|TEM,0,2.0,0
MEG_3119|Drugs|betalactams|Class_A_betalactamases|GES,2.0,2.0,0
MEG_3181|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,14.0,22.0,8.0
MEG_1738|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEA,4.0,8.0,4.0
MEG_7508|Drugs|Glycopeptides|VanD-type_regulator|VANSD,4.0,2.0,0
MEG_3195|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,10.0,16.0,8.0
MEG_5870|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRA,4.0,4.0,2.0
MEG_1460|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLE,2.0,0,2.0
MEG_6323|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,2.0,2.0
